entry,weight,info,ref_dis,pers,form,bin
这次质量检查把我们厂的水泥定为不合格产品,6,new,10,0,ba,medium
如果把商品装璜、商品陈列比作＂硬件＂的话,8,new,10,0,ba,medium
那些把本来属于自己职责范围的正常工作当成所谓＂创收＂手段,15,new,10,0,ba,heavy
对已经投入的要把工作重心放到产出上,4,new,10,0,ba,light
把各项工工作推上新台阶,5,old,10,0,ba,light
这样把廉政与勤政紧紧连在一起,6,old,1,0,ba,medium
有的人对把自己所在部门列为重点,6,new,10,0,ba,medium
把深圳建成现代化、国际性城市,2,new,10,0,ba,light
努力把各项事业推向前进,4,new,10,0,ba,light
我们也可把经商的人称为商客,4,new,10,0,ba,light
这种不惜损害国家利益的＂待客＂态度最终却把杰麦集团给＂吓＂跑了,4,old,4,0.5,ba,light
如今不少企业把市场促销的＂宝＂，押在有奖销售上了。,6,new,10,0,ba,medium
把企业推向了市场,2,old,0.5,0,ba,light
把合理的尽力合法化,3,new,10,0,ba,light
全力当好勤务员,3,new,10,0,can,light
特区要当好建设有中国特色的社会主义的排头兵,16,new,10,0,can,heavy
金泳三为了争当下届总统,4,old,8,0,can,light
还是收缩阵地,2,new,10,0,can,light
本市各行各业都要结合自己的工作任务,6,new,10,0,can,medium
三团五伙地义务擦栏杆,2,new,10,0,can,light
乱搞违章建筑,4,old,2,2,can,light
决不允许在绿化带乱搞违章建筑,4,old,1,1,can,light
允许黎某在该地上＂搞种养业、建厂、建住宅＂等,9,new,10,0,can,medium
门户封了两道关（木门外加铁门）应该不至于说撬就被撬,3,new,10,0,can,light
深圳的＂特惠＂政策变成了＂普惠＂政策,4,new,10,0,can,light
何不用这些精力认真去办点事情,2,new,10,0,can,light
有的还要升起几个气球,4,new,10,0,can,light
建立＂小金库＂,3,new,10,0,can,light
